BDTYP_CD,BULD_NM,BULD_NM_DC,BULD_SE_CD,BUL_MAN_NO,EMD_CD,GRO_FLO_CO,LNBR_MNNM,LNBR_SLNO,UND_FLO_CO,geometry,floor,geometry2,apt_nm
2001,브라운스톤 가야,102,0,17141,108,15,846,0,0,"MULTIPOLYGON (((127.7128608886525 34.96452730275258, 127.7128684994043 34.96450588693407, 127.7129097513597 34.96451419918946, 127.7129371107524 34.96441634955497, 127.7129597806423 34.96440552662169, 127.7129678709987 34.96441806220556, 127.7131247150907 34.96434419619769, 127.7130929012455 34.96430040527741, 127.7130853396183 34.96430343308513, 127.7130089922879 34.96419596061952, 127.7130144620537 34.96419413486728, 127.7129801366861 34.96414858295165, 127.7128264702978 34.9642290371275, 127.7128388594931 34.96424489158531, 127.7128132835556 34.96425772352245, 127.7126957970219 34.96423474190254, 127.7126876876391 34.96426434497744, 127.7126318198875 34.96425491041013, 127.7126402872008 34.96422617956174, 127.712408914721 34.96418125839886, 127.7124016861836 34.96420763844494, 127.7123705061546 34.9642016827032, 127.7123462054198 34.96428229834309, 127.7123945033816 34.96429255252318, 127.7123968237919 34.96427851378281, 127.7124706730924 34.96429335951009, 127.7124666103595 34.9643097700144, 127.7125176141984 34.96431891765884, 127.712521312796 34.96430471761617, 127.7125964856518 34.96431814038268, 127.7125931674982 34.96433328462759, 127.7126402326611 34.96434024695158, 127.7126428891554 34.9643283604885, 127.7126884114141 34.96433543097827, 127.712685556092 34.9643483822111, 127.7127566413765 34.9643626580663, 127.7127615984173 34.96434584571676, 127.7128011634937 34.96435155394641, 127.7128073150077 34.96432599140988, 127.7128442623337 34.96433159778136, 127.7128649912874 34.96435970694561, 127.7128590221772 34.96438483576371, 127.7128318280606 34.96438147073635, 127.7128295436626 34.96438953325884, 127.7128122538452 34.96438688538305, 127.7128060756015 34.96441188923315, 127.7127909577466 34.96440970635346, 127.7127696421266 34.96448601411722, 127.7127837515475 34.96448806770187, 127.7127776429613 34.96451099801501, 127.7128608886525 34.96452730275258)))",15,"[[[127.71286088865246, 34.96452730275258], [127.7128684994043, 34.96450588693407], [127.71290975135967, 34.96451419918946], [127.71293711075239, 34.96441634955497], [127.71295978064225, 34.96440552662169], [127.71296787099871, 34.96441806220556], [127.71312471509073, 34.964344196197686], [127.71309290124547, 34.964300405277406], [127.71308533961829, 34.96430343308513], [127.7130089922879, 34.96419596061952], [127.71301446205374, 34.96419413486728], [127.71298013668607, 34.96414858295165], [127.7128264702978, 34.964229037127495], [127.71283885949306, 34.96424489158531], [127.71281328355558, 34.96425772352245], [127.71269579702185, 34.964234741902544], [127.71268768763912, 34.964264344977444], [127.71263181988748, 34.96425491041013], [127.71264028720076, 34.96422617956174], [127.71240891472104, 34.96418125839886], [127.71240168618363, 34.96420763844494], [127.7123705061546, 34.9642016827032], [127.71234620541985, 34.96428229834309], [127.71239450338157, 34.964292552523176], [127.71239682379186, 34.96427851378281], [127.71247067309238, 34.96429335951009], [127.71246661035946, 34.9643097700144], [127.71251761419836, 34.96431891765884], [127.71252131279599, 34.964304717616166], [127.71259648565177, 34.96431814038268], [127.71259316749823, 34.96433328462759], [127.71264023266106, 34.96434024695158], [127.71264288915542, 34.9643283604885], [127.71268841141412, 34.964335430978274], [127.71268555609197, 34.9643483822111], [127.71275664137652, 34.9643626580663], [127.71276159841726, 34.96434584571676], [127.71280116349374, 34.964351553946415], [127.71280731500771, 34.96432599140988], [127.71284426233372, 34.96433159778136], [127.71286499128745, 34.964359706945615], [127.71285902217717, 34.96438483576371], [127.71283182806062, 34.96438147073635], [127.71282954366258, 34.96438953325884], [127.71281225384523, 34.96438688538305], [127.71280607560152, 34.964411889233155], [127.7127909577466, 34.96440970635346], [127.71276964212662, 34.96448601411722], [127.71278375154748, 34.96448806770187], [127.71277764296133, 34.96451099801501], [127.71286088865246, 34.96452730275258]]]",브라운스톤 가야 102동
2001,브라운스톤 가야,104,0,17098,108,15,846,0,0,"MULTIPOLYGON (((127.7125560914936 34.96556992373527, 127.7125636914679 34.96554850800155, 127.7126049547898 34.9655568112759, 127.7126323039219 34.96545896178247, 127.7126549741376 34.96544813890399, 127.7126630646312 34.9654606835185, 127.712819910974 34.96538681788984, 127.7127880967988 34.96534301788693, 127.7127805460917 34.96534605462547, 127.7127041871379 34.96523857304454, 127.7127096570575 34.96523675631855, 127.7126753313341 34.96519119531465, 127.7125216736612 34.96527164905385, 127.7125340630366 34.96528751255202, 127.7125084867295 34.96530034442721, 127.7123909987821 34.96527736253325, 127.7123828781666 34.96530695663622, 127.7123270098155 34.96529753095153, 127.7123354772585 34.96526879111361, 127.7121041129424 34.96522386934681, 127.7120968842992 34.96525025838564, 127.7120656929457 34.96524430263522, 127.7120413915438 34.96532490919442, 127.7120897011104 34.96533517243618, 127.7120920106502 34.96532113376709, 127.7121658717089 34.96533597058943, 127.7121617979184 34.96535238114615, 127.7122128024517 34.96536153792282, 127.7122165120946 34.96534733782657, 127.7122916749105 34.96536076083274, 127.7122883565843 34.96537589605477, 127.7123354333479 34.96538286743787, 127.7123380788907 34.96537097203348, 127.7123836127302 34.96537805157872, 127.7123807463779 34.96539100286728, 127.7124518324386 34.96540526987516, 127.7124567896008 34.9653884575394, 127.7124963552383 34.96539417487476, 127.7125025069193 34.96536861235601, 127.7125394546177 34.96537420980074, 127.712560194686 34.96540231894615, 127.7125542145415 34.96542745682426, 127.712527020013 34.96542408272008, 127.7125247465845 34.96543215418514, 127.7125074456079 34.96542950633307, 127.7125012780695 34.96545450108817, 127.7124861601079 34.96545232718628, 127.7124648330026 34.96552863495418, 127.7124789535445 34.96553068850768, 127.7124728448009 34.96555361880353, 127.7125560914936 34.96556992373527)))",15,"[[[127.71255609149361, 34.96556992373527], [127.7125636914679, 34.965548508001554], [127.71260495478978, 34.9655568112759], [127.71263230392186, 34.96545896178247], [127.71265497413762, 34.965448138903994], [127.71266306463117, 34.9654606835185], [127.71281991097403, 34.965386817889836], [127.71278809679879, 34.96534301788693], [127.71278054609166, 34.96534605462547], [127.71270418713793, 34.96523857304454], [127.71270965705753, 34.96523675631855], [127.7126753313341, 34.96519119531465], [127.71252167366124, 34.96527164905385], [127.71253406303664, 34.965287512552024], [127.71250848672946, 34.96530034442721], [127.71239099878211, 34.96527736253325], [127.71238287816662, 34.96530695663622], [127.71232700981545, 34.96529753095153], [127.71233547725853, 34.96526879111361], [127.71210411294243, 34.965223869346815], [127.7120968842992, 34.96525025838564], [127.71206569294574, 34.96524430263522], [127.7120413915438, 34.96532490919442], [127.71208970111044, 34.965335172436184], [127.71209201065022, 34.96532113376709], [127.71216587170888, 34.96533597058943], [127.71216179791844, 34.96535238114615], [127.71221280245172, 34.965361537922824], [127.7122165120946, 34.96534733782657], [127.71229167491055, 34.965360760832745], [127.71228835658428, 34.965375896054766], [127.71233543334787, 34.96538286743787], [127.71233807889071, 34.965370972033476], [127.71238361273019, 34.965378051578725], [127.71238074637789, 34.96539100286728], [127.71245183243856, 34.965405269875156], [127.71245678960081, 34.965388457539404], [127.7124963552383, 34.96539417487476], [127.71250250691934, 34.96536861235601], [127.71253945461771, 34.965374209800736], [127.71256019468596, 34.965402318946154], [127.71255421454148, 34.96542745682426], [127.71252702001303, 34.96542408272008], [127.71252474658455, 34.96543215418514], [127.71250744560786, 34.965429506333074], [127.71250127806952, 34.96545450108817], [127.71248616010793, 34.965452327186284], [127.71246483300263, 34.965528634954175], [127.71247895354449, 34.96553068850768], [127.71247284480091, 34.965553618803526], [127.71255609149361, 34.96556992373527]]]",브라운스톤 가야 104동
2001,브라운스톤 가야,105,0,17137,108,15,846,0,0,"MULTIPOLYGON (((127.7122074433076 34.9640905259651, 127.7120545491156 34.9639358369249, 127.7120258833321 34.96395856567882, 127.7120045276404 34.96393771598023, 127.71192642032 34.96399019039766, 127.7121173871976 34.96418320798037, 127.7121976768834 34.96412859346088, 127.712179228511 34.96410969174437, 127.7122074433076 34.9640905259651)))",15,"[[[127.71220744330759, 34.964090525965105], [127.71205454911559, 34.9639358369249], [127.7120258833321, 34.963958565678816], [127.71200452764036, 34.96393771598023], [127.71192642032003, 34.96399019039766], [127.71211738719764, 34.96418320798037], [127.71219767688339, 34.96412859346088], [127.712179228511, 34.96410969174437], [127.71220744330759, 34.964090525965105]]]",브라운스톤 가야 105동
2001,브라운스톤 가야,107,0,17139,108,15,846,0,0,"MULTIPOLYGON (((127.7119522605397 34.9651469614582, 127.7117811490691 34.96497369349667, 127.7118156238442 34.96495032691386, 127.7116409653579 34.96477577251999, 127.7115409671068 34.96484321107656, 127.7116106358869 34.96491536317375, 127.7115923497633 34.96492669202576, 127.7116250952229 34.96496177075611, 127.7116435217995 34.96494895383444, 127.7117132507373 34.96501790569181, 127.7116799832062 34.96504033678529, 127.7117449904334 34.96511278646958, 127.7117294532643 34.96512292749727, 127.7117648433508 34.965158666741, 127.711781612911 34.96514795965784, 127.7118531242559 34.96521407073679, 127.7119522605397 34.9651469614582)))",15,"[[[127.71195226053968, 34.9651469614582], [127.71178114906905, 34.964973693496674], [127.71181562384422, 34.964950326913865], [127.7116409653579, 34.964775772519985], [127.71154096710679, 34.964843211076555], [127.71161063588693, 34.96491536317375], [127.71159234976331, 34.96492669202576], [127.71162509522294, 34.96496177075611], [127.71164352179952, 34.96494895383444], [127.71171325073732, 34.96501790569181], [127.71167998320615, 34.96504033678529], [127.71174499043337, 34.96511278646958], [127.71172945326433, 34.96512292749727], [127.71176484335084, 34.965158666741], [127.71178161291097, 34.96514795965784], [127.71185312425587, 34.96521407073679], [127.71195226053968, 34.9651469614582]]]",브라운스톤 가야 107동
2005,브라운스톤 가야,117,0,17140,108,2,846,0,1,"MULTIPOLYGON (((127.7121465917398 34.96446379261626, 127.7121633985457 34.96441050502953, 127.712095530126 34.96439596663683, 127.712087398746 34.96442431691106, 127.7120383965723 34.96441620295203, 127.7120301976888 34.96444434630462, 127.7120407426163 34.96444570875659, 127.7119935566254 34.96461372786808, 127.7121049926715 34.96463591631689, 127.7121571197551 34.96446573202726, 127.7121465917398 34.96446379261626)))",3,"[[[127.71214659173977, 34.96446379261626], [127.71216339854571, 34.96441050502953], [127.71209553012598, 34.96439596663683], [127.71208739874604, 34.964424316911064], [127.71203839657225, 34.96441620295203], [127.71203019768883, 34.964444346304624], [127.71204074261625, 34.964445708756585], [127.7119935566254, 34.96461372786808], [127.71210499267147, 34.96463591631689], [127.71215711975506, 34.96446573202726], [127.71214659173977, 34.96446379261626]]]",브라운스톤 가야 117동
2001,브라운스톤 가야,103,0,17099,108,15,846,0,0,"MULTIPOLYGON (((127.7127070186581 34.96504801806209, 127.7127146294959 34.96502660225401, 127.7127558816208 34.96503490554487, 127.7127832304104 34.9649370560133, 127.7128059114898 34.96492624205666, 127.7128140018757 34.96493877764938, 127.7129708470933 34.96486491183302, 127.7129390220963 34.96482111192858, 127.7129314714425 34.96482414867613, 127.7128551238163 34.96471667612642, 127.71286059362 34.9647148503808, 127.7128262680366 34.96466928941402, 127.7126726005313 34.96474974340177, 127.7126849898552 34.96476560688647, 127.7126594137328 34.96477843879232, 127.7125419264935 34.96475545703396, 127.7125338169294 34.9647850510842, 127.7124779489175 34.96477562546409, 127.7124864162572 34.96474688561443, 127.7122550423873 34.96470196417881, 127.7122478138355 34.96472835322776, 127.7122166226702 34.96472239751335, 127.7121923216395 34.96480301311916, 127.7122406308386 34.96481326729208, 127.7122429512883 34.96479922855536, 127.7123168010316 34.96481407436966, 127.7123127272175 34.96483047591903, 127.7123637423907 34.96483963257272, 127.7123674410368 34.96482543253532, 127.7124426033975 34.96483885545464, 127.712439296145 34.96485399963058, 127.7124863615945 34.96486096201013, 127.7124890180487 34.9648490665378, 127.7125345406619 34.96485614609451, 127.7125316852989 34.96486909732308, 127.7126027709318 34.96488336424893, 127.7126077280336 34.96486655190634, 127.7126472934291 34.96487226919591, 127.712653445027 34.96484670666834, 127.7126903924999 34.96485230407031, 127.7127111216137 34.96488042227061, 127.7127051414727 34.96490555114416, 127.7126779471115 34.96490217707148, 127.7126756737113 34.96491024853972, 127.7126583728401 34.96490760070768, 127.712652205462 34.96493260448469, 127.712637087515 34.96493042158715, 127.7126157606768 34.96500672938481, 127.7126298811323 34.965008782922, 127.7126237724671 34.96503171322642, 127.7127070186581 34.96504801806209)))",15,"[[[127.71270701865811, 34.96504801806209], [127.7127146294959, 34.96502660225401], [127.71275588162078, 34.96503490554487], [127.71278323041035, 34.9649370560133], [127.71280591148984, 34.964926242056656], [127.71281400187567, 34.96493877764938], [127.71297084709327, 34.96486491183302], [127.71293902209632, 34.96482111192858], [127.71293147144246, 34.96482414867613], [127.71285512381625, 34.96471667612642], [127.71286059361998, 34.9647148503808], [127.71282626803657, 34.96466928941402], [127.71267260053126, 34.96474974340177], [127.7126849898552, 34.96476560688647], [127.71265941373278, 34.96477843879232], [127.71254192649349, 34.96475545703396], [127.71253381692938, 34.9647850510842], [127.71247794891747, 34.964775625464085], [127.71248641625716, 34.96474688561443], [127.71225504238734, 34.96470196417881], [127.7122478138355, 34.964728353227756], [127.71221662267024, 34.96472239751335], [127.71219232163953, 34.96480301311916], [127.71224063083862, 34.96481326729208], [127.71224295128832, 34.96479922855536], [127.71231680103162, 34.96481407436966], [127.71231272721747, 34.96483047591903], [127.71236374239075, 34.96483963257272], [127.71236744103679, 34.96482543253532], [127.71244260339752, 34.964838855454644], [127.71243929614505, 34.96485399963058], [127.71248636159449, 34.96486096201013], [127.71248901804874, 34.9648490665378], [127.71253454066189, 34.96485614609451], [127.71253168529888, 34.96486909732308], [127.71260277093175, 34.964883364248934], [127.71260772803357, 34.96486655190634], [127.7126472934291, 34.96487226919591], [127.712653445027, 34.96484670666834], [127.71269039249985, 34.96485230407031], [127.7127111216137, 34.96488042227061], [127.71270514147265, 34.96490555114416], [127.71267794711152, 34.96490217707148], [127.71267567371135, 34.96491024853972], [127.71265837284014, 34.964907600707676], [127.71265220546202, 34.964932604484694], [127.71263708751496, 34.96493042158715], [127.71261576067675, 34.96500672938481], [127.71262988113233, 34.965008782922], [127.7126237724671, 34.965031713226416], [127.71270701865811, 34.96504801806209]]]",브라운스톤 가야 103동
2001,브라운스톤 가야,106,0,17138,108,15,846,0,0,"MULTIPOLYGON (((127.7119028147038 34.96459661009509, 127.7115584077614 34.96424910402325, 127.7114589897453 34.96431773793054, 127.7115243885313 34.96438743630979, 127.7115075471301 34.96439995551113, 127.7115427300242 34.96443584025518, 127.7115616390949 34.96442311967401, 127.7116954315835 34.96455932598024, 127.7116787884172 34.96457197924971, 127.7117135676024 34.96460801052076, 127.7117316445838 34.96459529477961, 127.7118021559183 34.96466358402299, 127.7119028147038 34.96459661009509)))",15,"[[[127.71190281470378, 34.96459661009509], [127.71155840776139, 34.964249104023246], [127.71145898974534, 34.96431773793054], [127.71152438853133, 34.964387436309785], [127.71150754713011, 34.96439995551113], [127.71154273002418, 34.964435840255184], [127.71156163909487, 34.96442311967401], [127.71169543158354, 34.96455932598024], [127.71167878841723, 34.96457197924971], [127.7117135676024, 34.964608010520756], [127.71173164458385, 34.964595294779606], [127.71180215591829, 34.96466358402299], [127.71190281470378, 34.96459661009509]]]",브라운스톤 가야 106동
2001,브라운스톤 가야,101,0,17136,108,15,846,0,0,"MULTIPOLYGON (((127.7130127925878 34.96400609397315, 127.7130181788924 34.96398448386387, 127.7130617631623 34.96399157458308, 127.7130850808558 34.96391385792577, 127.7130772625744 34.96391252465571, 127.7130854288278 34.96388951917415, 127.7131154527414 34.96387574172942, 127.7131225901875 34.96388697591639, 127.713259707206 34.96381868756833, 127.7132532150908 34.96380737749846, 127.7132693940972 34.96380060359992, 127.7132354846118 34.96375629319238, 127.7132268210514 34.96375976913317, 127.7131751154118 34.9636909558813, 127.7131836064771 34.96368652551373, 127.7131486079879 34.96363529000573, 127.7129923432304 34.96371268598074, 127.7130001137932 34.96372370013987, 127.7129710039862 34.96373682322189, 127.7128470180841 34.96371553832019, 127.7128393828718 34.96374298437981, 127.7127856416658 34.96373378980509, 127.7127936949666 34.9637065756535, 127.7125591940138 34.96366310625016, 127.7125528035154 34.96368762459893, 127.7125227424535 34.96368189669659, 127.7124999379209 34.9637620349052, 127.7125456943219 34.9637708977863, 127.7125488549933 34.96375907146745, 127.7126240218561 34.9637731252081, 127.7126196918167 34.96378900548158, 127.712669553923 34.96379910617814, 127.7126737237743 34.9637836955481, 127.7127486230841 34.96379719193511, 127.712744951629 34.96381072482032, 127.7127917847835 34.96382001395487, 127.7127957116323 34.96380689419792, 127.7128390738934 34.9638149146988, 127.7128359820695 34.9638271011655, 127.7128856203076 34.96383536431033, 127.7128883098309 34.96382350468854, 127.7129527594967 34.96383397951016, 127.7129612953498 34.96380432884986, 127.7129945264733 34.96381071409056, 127.7130155627997 34.963840191498, 127.7130097956763 34.96386587798477, 127.7129814500969 34.96386228538226, 127.7129807292384 34.96386629164271, 127.7129679139588 34.96386447386561, 127.7129615813124 34.9638880725086, 127.7129456814464 34.96388534439929, 127.7129215001636 34.96396577016913, 127.7129349181365 34.96396890941912, 127.7129295208624 34.96399051958916, 127.7130127925878 34.96400609397315)))",15,"[[[127.71301279258783, 34.96400609397315], [127.71301817889236, 34.96398448386387], [127.71306176316227, 34.96399157458308], [127.71308508085583, 34.96391385792577], [127.71307726257437, 34.96391252465571], [127.71308542882778, 34.963889519174145], [127.71311545274138, 34.963875741729424], [127.71312259018751, 34.96388697591639], [127.71325970720596, 34.963818687568335], [127.71325321509084, 34.96380737749846], [127.71326939409718, 34.96380060359992], [127.71323548461181, 34.963756293192375], [127.71322682105144, 34.96375976913317], [127.71317511541183, 34.9636909558813], [127.71318360647706, 34.96368652551373], [127.71314860798789, 34.96363529000573], [127.7129923432304, 34.96371268598074], [127.71300011379324, 34.963723700139866], [127.71297100398618, 34.963736823221886], [127.7128470180841, 34.96371553832019], [127.71283938287183, 34.96374298437981], [127.71278564166577, 34.96373378980509], [127.71279369496663, 34.963706575653504], [127.71255919401379, 34.96366310625016], [127.71255280351542, 34.963687624598926], [127.71252274245349, 34.96368189669659], [127.71249993792085, 34.9637620349052], [127.71254569432186, 34.963770897786304], [127.71254885499327, 34.96375907146745], [127.71262402185613, 34.9637731252081], [127.71261969181671, 34.96378900548158], [127.71266955392298, 34.963799106178136], [127.71267372377427, 34.9637836955481], [127.71274862308414, 34.96379719193511], [127.71274495162896, 34.96381072482032], [127.71279178478349, 34.96382001395487], [127.71279571163227, 34.963806894197916], [127.71283907389342, 34.9638149146988], [127.71283598206952, 34.9638271011655], [127.7128856203076, 34.96383536431033], [127.71288830983094, 34.96382350468854], [127.71295275949673, 34.963833979510156], [127.71296129534981, 34.96380432884986], [127.71299452647325, 34.963810714090556], [127.7130155627997, 34.963840191498], [127.7130097956763, 34.96386587798477], [127.71298145009689, 34.96386228538226], [127.71298072923844, 34.96386629164271], [127.71296791395882, 34.963864473865605], [127.71296158131237, 34.963888072508595], [127.71294568144637, 34.963885344399294], [127.71292150016365, 34.96396577016913], [127.71293491813648, 34.96396890941912], [127.71292952086242, 34.96399051958916], [127.71301279258783, 34.96400609397315]]]",브라운스톤 가야 101동
2001,조선내화아파트,다동,0,17123,108,5,313,0,0,"MULTIPOLYGON (((127.714315095747 34.96512582346087, 127.7142467817426 34.96504603948097, 127.7137878519507 34.96530408724868, 127.7138576820767 34.96538701734956, 127.714315095747 34.96512582346087)))",5,"[[[127.71431509574703, 34.965125823460866], [127.71424678174264, 34.965046039480974], [127.71378785195068, 34.965304087248676], [127.71385768207665, 34.965387017349556], [127.71431509574703, 34.965125823460866]]]",조선내화아파트 다동
2001,조선내화아파트,라동,0,17121,108,5,313,0,0,"MULTIPOLYGON (((127.713970367812 34.96552934795691, 127.7139032189984 34.96544503212863, 127.7135576800634 34.96563499210774, 127.713622124895 34.96571812517382, 127.713970367812 34.96552934795691)))",5,"[[[127.71397036781198, 34.96552934795691], [127.7139032189984, 34.96544503212863], [127.71355768006336, 34.96563499210774], [127.71362212489502, 34.96571812517382], [127.71397036781198, 34.96552934795691]]]",조선내화아파트 라동
