gid,val,emd_cd,emd_nm
라라181596,12,46230106,중동
라라083724,9,46230320,옥룡면
라라111704,16,46230320,옥룡면
라라118868,0,46230360,다압면
라라206706,8,46230340,진상면
라라050629,0,46230250,광양읍
라라097659,0,46230320,옥룡면
라라077653,85,46230250,광양읍
라라095631,0,46230250,광양읍
라라101640,18,46230250,광양읍
라라060764,0,46230310,봉강면
라라057730,14,46230310,봉강면
라라104678,0,46230320,옥룡면
라라075684,11,46230310,봉강면
라라065647,21,46230250,광양읍
라라053631,0,46230250,광양읍
라라071694,0,46230310,봉강면
라라103639,456,46230250,광양읍
라라159757,0,46230340,진상면
라라074667,0,46230310,봉강면
라라072645,0,46230250,광양읍
라라096642,20,46230250,광양읍
라라201694,6,46230340,진상면
라라075643,30,46230250,광양읍
라라049625,0,46230250,광양읍
라라134608,0,46230104,성황동
라라120632,0,46230250,광양읍
라라066712,0,46230310,봉강면
라라207677,9,46230340,진상면
라라081689,16,46230310,봉강면
라라166748,6,46230340,진상면
라라156834,11,46230360,다압면
라라072649,21,46230250,광양읍
라라234615,13,46230109,태인동
라라172806,11,46230360,다압면
라라108691,30,46230320,옥룡면
라라177603,400,46230106,중동
라라201758,0,46230360,다압면
라라078649,36,46230250,광양읍
라라198694,20,46230340,진상면
라라228724,0,46230350,진월면
라라185609,6,46230107,마동
라라212603,154,46230110,금호동
라라110620,9,46230250,광양읍
라라202710,0,46230340,진상면
라라096673,0,46230320,옥룡면
라라144610,0,46230104,성황동
라라062608,10,46230250,광양읍
라라109699,0,46230320,옥룡면
라라139697,0,46230330,옥곡면
라라109721,8,46230320,옥룡면
라라102586,0,46230250,광양읍
라라105720,23,46230320,옥룡면
라라183600,25,46230106,중동
라라074646,0,46230250,광양읍
라라110696,0,46230320,옥룡면
라라083693,0,46230310,봉강면
라라101593,0,46230250,광양읍
라라076661,7,46230250,광양읍
라라233634,0,46230350,진월면
라라079602,7,46230250,광양읍
라라235614,13,46230109,태인동
라라102670,0,46230320,옥룡면
라라151718,0,46230340,진상면
라라061607,14,46230250,광양읍
라라120631,0,46230250,광양읍
라라058691,0,46230310,봉강면
라라069646,10,46230250,광양읍
라라071646,31,46230250,광양읍
라라158672,6,46230330,옥곡면
라라204629,104,46230108,광영동
라라212747,0,46230360,다압면
라라225643,0,46230350,진월면
라라081605,0,46230250,광양읍
라라173603,26,46230106,중동
라라144650,10,46230330,옥곡면
라라137836,0,46230360,다압면
라라235643,0,46230350,진월면
라라110702,8,46230320,옥룡면
라라226723,13,46230350,진월면
라라115724,0,46230320,옥룡면
라라170613,65,46230106,중동
라라172616,27,46230106,중동
라라105725,8,46230320,옥룡면
라라162616,6,46230104,성황동
라라171611,22,46230106,중동
라라124570,20,46230101,황금동
라라199601,138,46230110,금호동
라라141608,7,46230104,성황동
라라171608,147,46230106,중동
라라171722,9,46230340,진상면
라라178597,820,46230106,중동
라라229608,0,46230109,태인동
라라094669,6,46230320,옥룡면
라라199629,28,46230108,광영동
라라176612,8,46230106,중동
라라057635,27,46230250,광양읍
라라113663,0,46230320,옥룡면
라라171810,0,46230360,다압면
라라093674,7,46230320,옥룡면
라라071686,8,46230310,봉강면
라라182599,36,46230106,중동
라라099625,38,46230250,광양읍
라라101638,0,46230250,광양읍
라라206675,0,46230340,진상면
라라117572,6,46230101,황금동
라라106720,11,46230320,옥룡면
라라220663,0,46230350,진월면
라라088689,12,46230310,봉강면
라라216736,12,46230360,다압면
라라057737,22,46230310,봉강면
라라108678,16,46230320,옥룡면
라라180595,50,46230106,중동
라라215741,7,46230360,다압면
라라098642,25,46230250,광양읍
라라093671,19,46230320,옥룡면
라라160619,0,46230104,성황동
라라256684,10,46230350,진월면
라라232655,0,46230350,진월면
라라124569,14,46230101,황금동
라라181606,55,46230106,중동
라라071644,32,46230250,광양읍
라라102591,0,46230250,광양읍
라라141592,0,46230102,황길동
라라237707,15,46230350,진월면
라라082647,113,46230250,광양읍
라라095761,0,46230320,옥룡면
라라100637,564,46230250,광양읍
라라203628,71,46230108,광영동
라라062606,17,46230250,광양읍
라라088778,0,46230320,옥룡면
라라216649,10,46230350,진월면
라라229652,0,46230350,진월면
라라061663,19,46230310,봉강면
라라115620,15,46230250,광양읍
라라118645,20,46230250,광양읍
라라119710,0,46230320,옥룡면
라라083717,0,46230320,옥룡면
라라083643,61,46230250,광양읍
라라144654,19,46230330,옥곡면
라라111723,0,46230320,옥룡면
라라175729,0,46230340,진상면
라라171592,0,46230106,중동
라라116572,0,46230101,황금동
라라175692,0,46230330,옥곡면
라라204697,8,46230340,진상면
라라106698,0,46230320,옥룡면
라라109703,0,46230320,옥룡면
라라193679,17,46230340,진상면
라라205635,0,46230330,옥곡면
라라168598,0,46230103,도이동
라라098646,0,46230250,광양읍
라라128571,0,46230101,황금동
라라067743,0,46230310,봉강면
라라174602,0,46230106,중동
라라156735,0,46230340,진상면
라라202742,0,46230360,다압면
라라197615,7,46230107,마동
라라089662,20,46230250,광양읍
라라222643,0,46230350,진월면
라라081642,50,46230250,광양읍
라라173620,428,46230107,마동
라라196634,560,46230108,광영동
라라198634,95,46230108,광영동
라라195728,0,46230340,진상면
라라072640,49,46230250,광양읍
라라081666,0,46230310,봉강면
라라058760,0,46230310,봉강면
라라160658,0,46230330,옥곡면
라라145676,0,46230330,옥곡면
라라184609,8,46230106,중동
라라226645,15,46230350,진월면
라라101643,217,46230250,광양읍
라라234712,8,46230350,진월면
라라111706,0,46230320,옥룡면
라라133816,0,46230360,다압면
라라209716,0,46230340,진상면
라라206701,0,46230340,진상면
라라207687,0,46230340,진상면
라라197758,13,46230360,다압면
라라201695,13,46230340,진상면
라라206692,29,46230340,진상면
라라134584,26,46230102,황길동
라라155784,0,46230340,진상면
라라170621,7,46230107,마동
라라238691,23,46230350,진월면
라라060638,276,46230250,광양읍
라라068609,9,46230250,광양읍
라라173808,10,46230360,다압면
라라106680,0,46230320,옥룡면
라라073633,13,46230250,광양읍
라라055663,18,46230310,봉강면
라라237680,0,46230350,진월면
라라070649,67,46230250,광양읍
라라109742,0,46230320,옥룡면
